date,close
2021-05-11,14.04
2021-05-12,13.96
2021-05-13,13.48
2021-05-17,13.82
2021-05-18,14.41
2021-05-19,14.25
2021-05-20,14.72
2021-05-21,14.78
2021-05-24,14.69
2021-05-25,14.13
2021-05-26,14.55
2021-05-27,15.16
2021-05-28,15.22
2021-06-01,15.68
2021-06-02,15.28
2021-06-03,15.64
2021-06-04,15.73
2021-06-07,15.75
2021-06-08,16.10
2021-06-09,16.08
2021-06-10,16.06
2021-06-11,15.73
2021-06-14,15.96
2021-06-15,15.36
2021-06-16,15.01
2021-06-17,15.28
2021-06-18,15.82
2021-06-21,15.62
2021-06-22,15.57
2021-06-23,15.88
2021-06-24,16.06
2021-06-25,15.96
2021-06-28,15.88
2021-06-29,15.65
2021-06-30,15.53
2021-07-01,16.69
2021-07-02,16.43
2021-07-06,15.79
2021-07-09,14.76
2021-07-12,14.61
2021-07-13,14.54
2021-07-14,14.27
2021-07-15,15.19
2021-07-16,16.81
2021-07-19,16.54
2021-07-20,16.92
2021-07-21,16.66
2021-07-22,17.15
2021-07-23,16.83
2021-07-26,17.08
2021-07-27,16.89
2021-07-28,17.22
2021-07-29,16.74
2021-07-30,13.89
2021-08-02,14.70
2021-08-03,14.92
2021-08-04,14.83
2021-08-05,14.54
2021-08-06,14.89
2021-08-09,14.57
2021-08-10,14.81
2021-08-11,14.78
2021-08-12,14.26
2021-08-13,14.19
2021-08-16,13.65
2021-08-17,13.20
2021-08-18,13.15
2021-08-19,12.96
2021-08-20,13.59
2021-08-23,13.99
2021-08-24,13.92
2021-08-25,13.87
2021-08-26,13.28
2021-08-27,13.36
2021-08-30,13.38
2021-08-31,13.41
2021-09-01,13.37
2021-09-02,13.55
2021-09-03,13.18
2021-09-07,13.12
2021-09-08,12.90
2021-09-09,12.77
2021-09-10,12.61
2021-09-13,12.57
2021-09-14,12.25
2021-09-15,12.19
2021-09-16,12.27
2021-09-17,12.59
2021-09-20,12.32
2021-09-21,12.43
2021-09-22,12.45
2021-09-23,12.34
2021-09-24,11.96
2021-09-27,11.96
2021-09-28,11.79
2021-09-29,11.58
2021-09-30,11.39
2021-10-01,11.12
2021-10-04,10.83
2021-10-05,11.03
2021-10-06,11.09
2021-10-07,11.22
2021-10-08,11.16
2021-10-11,11.17
2021-10-12,11.28
2021-10-13,11.55
2021-10-14,12.33
2021-10-15,12.07
2021-10-18,12.06
2021-10-19,12.53
2021-10-20,12.56
2021-10-21,12.33
2021-10-22,12.32
2021-10-25,12.43
2021-10-26,12.37
2021-10-27,12.07
2021-10-28,12.36
2021-10-29,12.53
2021-11-01,12.59
2021-11-02,12.53
2021-11-03,13.85
2021-11-04,14.21
2021-11-05,14.07
2021-11-08,14.24
2021-11-09,14.07
2021-11-10,14.27
2021-11-11,14.62
2021-11-12,14.60
2021-11-15,14.66
2021-11-16,15.00
2021-11-17,15.15
2021-11-18,14.82
2021-11-19,14.58
2021-11-22,14.49
2021-11-23,13.63
2021-11-24,13.11
2021-11-26,12.86
2021-11-29,12.71
2021-11-30,12.80
2021-12-01,12.83
2021-12-02,12.53
2021-12-03,11.85
2021-12-06,12.27
2021-12-07,12.71
2021-12-08,12.66
2021-12-09,12.22
2021-12-10,11.23
2021-12-13,9.88
2021-12-14,9.58
2021-12-15,10.03
2021-12-16,9.84
2021-12-17,9.79
2021-12-20,9.78
2021-12-21,10.16
2021-12-22,10.57
2021-12-23,10.96
2021-12-27,10.48
2021-12-28,10.05
2021-12-29,9.97
2021-12-30,10.23
2021-12-31,9.97
2022-01-03,10.29
2022-01-04,10.03
2022-01-05,9.30
2022-01-06,8.88
2022-01-07,8.47
2022-01-10,8.81
2022-01-11,8.60
2022-01-12,8.42
2022-01-13,8.40
2022-01-14,8.14
2022-01-18,8.44
2022-01-19,8.42
2022-01-20,8.34
2022-01-21,8.12
2022-01-24,8.12
2022-01-25,7.90
2022-01-26,7.54
2022-01-27,7.20
2022-01-28,7.39
2022-01-31,7.92
2022-02-01,7.90
2022-02-02,7.31
